a|a ; a a a	a_a	a_a_a	a_a	a_a_a	a_a	a_a_a	a_a	a_a_a	a	a_a	aAa	a_a	a_a	a	a_a_a	a_a	a_a	a_a_a	a_a	a_a_a	a_a	a_a_a	a_a_a_a_a	a_a_a_a_a_a	a_a_a_a_a	a_a_a_a_a_a	a_a	a_a_a	a_a_a	a_a_a_a	a_a_a	a_a_a_a	a_a	a_a_a	a_a	a_a_a	a_a	a_a_a	a_a	a_a_a	a_a	a_a_a	a_a	a_a_a	a_a	a_a_a	a_a 	a_ a N
a	A:0	a	A:0	a	A:0	a	a a	A a a a a a a a a a a a a a a a Aa a. Aa a a, a, a a a a a.	A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|a://a.a/0.0/0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0	a a	A:0|A:0	a a|a a			A:0	Aa 0			A:0|A:0|A:0|A:0|A:0|A:0|A:0	a a|Aa 0|Aa 0|Aa 0|Aa 0|a a|a																				N
a	A:0	a a a a	A:0	a a a a	A:0	a a	a a a a|a a a a|a a a a	Aa a a a a a a a a a a.	A:A0A0A0A						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0	a a	A:0|A:0	a a|a a 							A:0|A:0|A:0	a a|a a|a																				N
aAa.a	A:0	a a a	A:0	a a a				a a a a a a a a							Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
a	A:0	a a	A:0	a a	A:0	a	a a|a a|a a	Aa a a a a a.							Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0	a	A:0|A:0	a a|a a							A:0|A:0|A:0	a a|a|a a																				N
a	A:0	a a a a a	A:0	a a a a a	A:0	a a a a	a a a a|a a a a a|a a a a a|a a a a a	Aa a a a a a a a a a a a a a a a a a a.	A:A0A0A0A						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0			A:0|A:0	a a|a a							A:0|A:0|A:0	a a|a a|a	A:0|A:0	a a a|a a a	A:0	a a a a a																N
a	A:0	a a a a	A:0	a a a a	A:0|A:0	a a|a a a	a a a a	Aa a a a a a a a. Aa Aa, a a a a a a.	A:0|A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0	a a	A:0|A:0 	a a|a a 							A:0|A:0|A:0	a|a a|a a																				N
a	A:0	a a a	A:0	a a a	A:0	a a	a a a|a a a a a a a|a a|a a a|a a a|a a a|a a a	Aa a a a a a a a a a a a.	A:0|A:0|a:0.0/a.0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0	a	A:0	a a							A:0|A:0|A:0	a|a a|a a			A:0	a a a a a																N
a	A:0	a a a a	A:0	a a a a	A:0	a a	a a a a|a a a a|a a a a|a a a a|a a a a	Aa a a a a a a a a, a a a.	A:0			a://a.a.a/a/a/a/a.a	Aa a a a a a a a a a a a a a a a a a. Aa a a a a a a a a. Aa a a 0a.		Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0	a a a									A:0|A:0|A:0	a|a a|a a																				N
a	A:0	a a a a a	A:0	a a a a a	A:0	a a a a	a a a a|a a a a a|a a a a a|a a a a a	Aa a a a a a a a a a a a a a a a a, a a a a a a a a a.	A:A0A0A0A|A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0	a a									A:0|A:0|A:0	a|a a|a a	A:0	a a a a a																		N
a	A:0	a a a a	A:0	a a a a	A:0	a a 	a a a a|a a a a|a a a a	Aa a a a a a a a a a a a.	A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0 | A:0	a | a a a 	A:0|A:0	a a|a a							A:0|A:0|A:0	a a|a a|a																				N
a	A:0	a a a a	A:0	a a a a	A:0	a a	a a a a|a a a a|a a a a	Aa a a a a (a a a).	A:A0A0A0A						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0	a a									A:0|A:0|A:0	a a|a a|a																				N
a	A:0	a a	A:0	a a	A:0	a	a a a|a a|a a	Aa a a a a a a a. 	A:0|A:0|A:0|A:0|A:0|A:0			a://a.a.a/a/a/a/a.a	Aa a a a a a a a a a a a a a. Aa a a a a a a. Aa a = 0a		Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0	a	A:0|A:0|A:0|A:0	a a|a a|a a|a a							A:0|A:0|A:0	a a|a a|a	A:0	a a a a																		N
aAa.a	A:0	a a a	A:0	a a a				a a a a a a a a							Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
a	A:0	a a	A:0	a a	A:0	a 	a a|a a|a a	Aa a a a a a.	A:0|A:0|A:0|A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0|A:0	a a|a	A:0	a a							A:0|A:0|A:0	a a|a|a a																				N
a a ; a a a a a a a a a a a a a a a a a a a a a. 	A:0	a a a	A:0	a a a	A:0	a a 	a a a a|a a a a a|a a a|a a a|a a a|a a a|a a a	Aa a a a a a a a a a a a a a.	A:0|A:0|A:0|A:0|A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0|A:0	a a a|a	A:0	a a							A:0|A:0|A:0	a|a a|a a																				N
aAa.a	A:0	a a	A:0	a a				a a a a a a a							Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
a	A:0	a a a a a	A:0	a a a a a	A:0	a a a a	a a a a|a a a a a|a a a a a|a a a a a	Aa a a a a a a a a a a a a a a a a a.	A:A0A0A0A|A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0			A:0|A:0	a a|a a							A:0|A:0|A:0	a a|a|a a	A:0	a a a a a																		N
a	A:0	a a a a	A:0	a a a a	A:0|A:0	a a|a a a	a a a a	Aa a, a a a a a a a a a. Aa a a a a a a a a a a.	A:0|A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0	a a	A:0|A:0 	a a|a a 							A:0|A:0|A:0	a|a a|a a																				N
a	A:0	a a a	A:0	a a a	A:0	a a	a a a|a a a|a a a|a a a|a a a	Aa a a a a a a a a a a a. Aa a "a" a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a.	A:A0A0A0A|A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0	a	A:0|A:0	a a|a a							A:0|A:0|A:0	a|a a|a a			A:0	a a a a a																N
a	A:0	a a a a	A:0	a a a a	A:0	a a	a a a a|a a a a|a a a a|a a a	Aa a a a a a a a.	A:0|A:0|a:0.0/a.0			a://a.a.a/a/a/a/a.a	Aa a a a a a a a a a a a a a a a a a. Aa a a a a a a a a a. Aa a a 0a.		Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0	a a a									A:0|A:0|A:0	a|a a|a a																				N
a	A:0	a a a a a	A:0	a a a a a	A:0	a a a a	a a a a a|a a a a a|a a a a a	Aa a a a a a a a a a a, a a a a a a.	A:A0A0A0A						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0	a a									A:0|A:0|A:0	a|a a|a a	A:0	a a a	A:0	a a a a a																N
a	A:0	a a a a	A:0	a a a a	A:0	a a 	a a a a|a a a a|a a a a	Aa a a a a a a a a a a a a.	A:0|a:0.0/a.0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0 | A:0	a | a a a	A:0|A:0	a a|a a							A:0|A:0|A:0	a a|a|a a																				N
a	A:0	a a	A:0	a a	A:0	a 	a a	Aa a a a a a, a a a a a a.	A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0	a	A:0|A:0	a a|a a							A:0|A:0|A:0	a a|a|a a																				N
a	A:0	a a a	A:0	a a a	A:0	a a	a a|a a a	Aa a a a a a a a a a a a.	A:0			a://a.a.a/a/a/a/a.a	Aa a a a a a a a a a a a a a a. Aa a a a a a a. Aa a = 0a		Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0	a a	A:0|A:0|A:0|A:0	a a|a a|a a|a a							A:0|A:0|A:0	a a|a|a a																				N
aAa.a	A:0	a a a a	A:0	a a a a				a a a a a a a a a							Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
a	A:0	a a a a	A:0	a a a a	A:0	a a	a a a|a a a	Aa a a a a a a a a.	A:0			a://a.a.a/a/a/a/a.a	Aa a a a a a a a a a a a a a a a a a. Aa a a. Aa a a a a a a a a. Aa a a 0a.		Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0	a a a									A:0|A:0|A:0	a a|a|a a																				N
a	A:0	a a a			A:0	a		Aa a a a a a a a. 	A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0	a a	A:0|A:0|A:0|A:0	a a|a a|a a|a a							A:0|A:0|A:0	a a|a|a a																				N
aAaAa.a	A:0	a a	A:0	a a				Aa a a a a							Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
a	A:0	a a a a	A:0	a a a a	A:0	a a	a a a a|a a a a|a a a a|a a a|a a a	Aa a a a a a, a a a a a a a a a a a.	A:A0A0A0A|A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0	a a	A:0|A:0	a a|a a							A:0|A:0|A:0	a a|a a|a																				N
a	A:0	a a	A:0	a a	A:0	a 		Aa a-a a a a a a a a a a a a.							Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0	a									A:0|A:0|A:0	a|a a|a a																	A:0	a		N
a	A:0	a a	A:0	a a	A:0	a	A|a a a|a a|a a|a a|a a|a a	Aa a a a a a a a a a a a a a a a a.	A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0	a	A:0|A:0|A:0	a|a a|a a	A:0	a a	A:0	Aa 0			A:0|A:0|A:0|A:0|A:0	a|a a|Aa 0|a a|Aa 0																				N
a	A:0	a a	A:0	a a	A:0	a a a	a a a|a a	A a a a a a a a a a.	A:0|A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
a	A:0	a a a	A:0	a a a	A:0	a a a (a Aa a Aa)	a a a|a a a a|a a a a|a a a|a a a|a a a|a a a|a a	Aa-a, a a a a a a a a a a a.	A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0	a a	A:0|A:0|A:0	a a|a a|a	A:0	a a	A:0	Aa 0			A:0|A:0|A:0|A:0|A:0	Aa 0|a|a a|Aa 0|a a																				N
aAaAa.a	A:0	a a a	A:0	a a a				Aa a a a a a							Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
a	A:0	a a	A:0	a a	A:0	a-a a		A a, a a-a a a a a/a a a a. Aa a a a a a, a a a a a a a a a a a a, a a, a, a a.	A:0|A:0|A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0	a a																														N
a	A:0	a a	A:0	a a	A:0	a	a a|a a	Aa a a a a a a a a a a a a. Aa a a a a a a a a.	A:0|A:0|A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
a	A:0	a a	A:0	a a	A:0	a		Aa a a a, a a a a a a a a a a a a a a, a a a a a a.							Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
a	A:0	a a	A:0	a a	A:0	a		A a a a a a a a, a a a a a a a a a a a a a a, a a a a a a.							Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
a	A:0	a a	A:0	a a	A:0	a	a	A a a a a a a a a a a a.							Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
a	A:0	a	A:0	a	A:0	a a		Aa a a a a a a, a a a a a a a a a, a a a a a a a a a a a a a a.	A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
a	A:0	a-a a	A:0	a-a a	A:0	a a	a-a|a|a a	Aa a a, a a a a.							Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
a	A:0	a-a a a	A:0	a-a a a	A:0	a a		A a a a a a.							Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0|A:0	a|a			A:0	a a a					A:0	a a																	A:0	Aa a a		N
a	A:0	a-a a	A:0	a-a a	A:0	a a	a a|a-a|a a	Aa a a a.							Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0			A:0	a a							A:0|A:0|A:0	a|a a|a a																				N
aAaAaAaAaAa.a	A:0	a a	A:0	a a				Aa a a a a a a a a a a a a a a a a, a a a a a a a a a a a a a a.			Aa'a Aa a. Aa a aAaAaAaAaAa.a a				Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
a.a	A:0	a a	A:0	a a				a a a a a a a a							Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
a	A:0	a a	A:0	a a	A:0	a a	a a a|a a	Aa a a a a a a a a a a a a0.	A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0											A:0|A:0|A:0|A:0|A:0	a a|Aa 0|a a|a|Aa 0																				N
a	A:0	a a a a	A:0	a a a a	A:0	a a a	a a a a|a a a a	Aa a a a a a a a a a a a a a a a a.	A:0|A:0|A:0			a://a.a.a/a/a/a/a.a	Aa a a a a a a a a a a a a a. Aa a a a a a a a a. Aa a = 0a		Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0	a	A:0|A:0|A:0|A:0	a a|a a|a a|a	A:0	a a	A:0	Aa 0			A:0|A:0|A:0|A:0|A:0	Aa 0|Aa 0|a a|a|a a																				N
a.a	A:0	a a	A:0	a a				a a a a-a a a a a							Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
a	A:0	a a	A:0	a a	A:0	a	a-a a	A a a a a a a a a a a a a a a a a a a a a a a a (a a a). Aa a a a a a a a a a a a a.	A:0|A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0	a a									A:0|A:0|A:0	a a|a a|a																				N
a	A:0	a a a	A:0	a a a	A:0	a a		A a a a a a a a a a a a a a a a a A a, a a a a a.							Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0|A:0	a|a									A:0|A:0|A:0	a|a a|a a																				N
a.a	A:0	a a	A:0	a a				a a a a a a a a							Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
a	A:0	a a	A:0	a a	A:0	a a	a|a-a a|a-a a	Aa a a a a a a a a a a a a a a a a a a a a a.	A:0			a://a.a.a/a/a/a/a.a	Aa a a a a a a a a.		Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0											A:0|A:0|A:0	a|a a|a a							A:0	a a	A:0	a										N
a	A:0	a a	A:0	a a	A:0	a	a-a a	Aa a a a a a a a a a a a.	A:0|A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0	a a																														N
a	A:0	a a	A:0	a a	A:0	a a	a-a a	Aa a a a a a, a a a a a a a a. Aa a a a a a a a a a a a a a a a a a a a a a.	A:0|A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0|A:0	a a | a																														N
a	A:0	a a	A:0	a a	A:0	a-a a	a-a a	A a a, a 0 a a a, a a a a; a a a a a a a a a a a a a a a a a 'a a' a a a a a.	A:0|A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0	a a																														N
a	A:0	a a a	A:0	a a a	A:0	a a	a a a|a a a	Aa a a a a a a. Aa a a a a a, a a a, a a a a a a a.	A:0|A:0|A:0|A:0|A:0|A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
a	A:0	a a	A:0	a a	A:0	a a		A a a a a a, a-a a a a a a. Aa a a a a Aa 0 a a a a a a a a a a a Aa 0-0.	A:0|A:0|A:0|A:0|a://a.a/a/a-a/a/a/a/a/a-0.a						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0			A:0|A:0	a a|a a	A:0	a	A:0	Aa 0			A:0|A:0|A:0|A:0	Aa 0|Aa 0|Aa 0|Aa 0																	A:0|A:0	Aa a a|a		N
a	A:0	a a a	A:0	a a a	A:0|A:0	a a a|a a		Aa a a a a a a a, a a a a a a a a a a a Aa 0.	A:0|A:0|A:0|A:0|a://a.a/a/a-a/a/a/a/a/a-0.a						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0	a a	A:0|A:0	a a|a a	A:0	a	A:0	Aa 0			A:0|A:0|A:0|A:0	Aa 0|Aa 0|Aa 0|Aa 0																	A:0|A:0	Aa a a|a		N
a	A:0	a a a	A:0	a a a	A:0	a a		Aa a a a a a a a a a a a a a a a.	A:0|A:0|A:0|A:0|a://a.a/a/a-a/a/a/a/a/a-0.a						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0	a a					A:0	Aa 0			A:0|A:0|A:0|A:0	Aa 0|Aa 0|Aa 0|Aa 0																	A:0|A:0	a|Aa a a		N
a	A:0	a a	A:0	a a	A:0	a a	a a	Aa a a a a a a a a.	A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0	a a a	A:0	a a			A:0	Aa 0	A:0	Aa 0	A:0|A:0|A:0 | A:0	Aa 0|Aa 0|Aa 0 | Aa 0																	A:0|A:0	Aa a a|a		N
a	A:0	a a a	A:0	a a a	A:0	a a		A a a a a a a a a.	A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0	a a	A:0	a a	A:0	a	A:0	Aa 0	A:0	Aa 0	A:0|A:0|A:0	Aa 0|Aa 0|Aa 0																	A:0|A:0	a|Aa a a		N
a	A:0	a	A:0	a	A:0	a a a		Aa a a a a a a a a a a a a a a a a a a/a.	A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
a	A:0	a a a a	A:0	a a a a	A:0	a a		Aa a a a a a a a a a a a a.	A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0	a a a					A:0	Aa 0	A:0	Aa 0	A:0|A:0|A:0	Aa 0|Aa 0|Aa 0																	A:0|A:0	a|Aa a a		N
a	A:0	a a	A:0	a a	A:0	a	a a	A a a a/a a-a a a a a a a a a a a-a a a	A:0|A:0|a://a.a/0.0/0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
aAa_aAa.a	A:0	a a a a	A:0	a a a a				a a a a a a							Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
aAa_aAa.a	A:0	a a	A:0	a a				a a a a							Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
aAa_aAa.a	A:0	a a a	A:0	a a a				a a a a a							Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
aAa_aAa.a	A:0	a a a a	A:0	a a a a				a a a a a a a							Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
aAa_aAa.a	A:0	a a	A:0	a a				a a a a							Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
aAa_aAa.a	A:0	a a a	A:0	a a a				a a a a a a							Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
a	A:0	a	A:0	a	A:0	a	a a|a|a a|a a	Aa a a a a a, a a, a a a a a a a a a.	A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0			a://a.a.a/a/a/a/a.a	Aa a a a a a-a a a (AaAa) a. Aa a: 0 a. Aa a a a a-a a a AaAa a. Aa a a a a a a a a a a. Aa a: 0 a		Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0	a a	A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0	a|a|a a|a a|a a|a a|a a|a a	A:0	a a a					A:0|A:0|A:0|A:0|A:0|A:0	a|Aa 0|a a|Aa 0|Aa 0|a a																				N
aAaAaAa.a	A:0	a a	A:0	a a				a a a a a a a							Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
aAaAa.a	A:0	a a	A:0	a a				Aa a a-a, a a a A0-0, a0/0-0, Aa0, Aa a Aa,a a a a a a a a a.			Aa'a Aa a. Aa a aAaAa.a a				Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
a a	A:0	a	A:0	a	A:0	Aa a a a		Aa 0 a a a a a a a.	A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0							A:0	Aa 0	A:0	Aa 0	A:0	Aa 0													A:0	a a						N
a	A:0	a a	A:0	a a	A:0	a 		Aa a a a a, a a, a a a a a a. Aa a a a a a a a a a. Aa a a a a a-a a a a a a.	A:0|A:0|A:0|A:0			a://a.a.a/a/a/a/a.a	Aa a a a a a a a a a (a) a a a a 0A a a a a a a a. Aa a a, a a a a a a a a a a, a a a a a a, a a a a a a a a a a a a. Aa a 0A a a a a (AaAa) a a a, a a a a a (a0a-0) a a a a a a a (a0a-0) a a a.		Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0	a	A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0	a a|a a|a a|a a|a a|a a|a|a	A:0	a a a	A:0	Aa 0			A:0|A:0|A:0|A:0|A:0|A:0	a a|a a|Aa 0|Aa 0|a|Aa 0					A:0|A:0	a a|a a														N
a	A:0	a a a a	A:0	a a a a	A:0	a a a	a a a	Aa a a a a a a a.	A:0|A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0	a a	A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0	a a|a a|a a|a a|a a|a|a|a a							A:0|A:0|A:0	a a|a|a a																				N
aAaAaAaAaAa.a	A:0	a-a a a a a a	A:0	a-a a a a a a				Aa a a a a a a a a a, a a a a, a a a a a a a a a, a a a a.							Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
a	A:0	a a a	A:0	a a a	A:0	a a		Aa a a a a a a a a a a.	A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
a a	A:0	a a	A:0	a a	A:0	a a a a		Aa a a a a a a a.	A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0	a a																														N
a	A:0	a a	A:0	a a	A:0	a		A a a a a a a a a a a a a a.							Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
a	A:0	a	A:0	a	A:0	a a a	a a	Aa a a a a a a a a, a a a a a a. Aa a a a a a, a, a/a a a (a.a. a a a a a).	A:0|A:a|A:a|Aa:Aa:(a)						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
a	A:0	a a a	A:0	a a a	A:0	a a a		Aa a a a a a a a a a a a a a a a a a a.	A:0|A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0	a a	A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0	a|a a a|a a|a a|a a|a a|a|a a							A:0|A:0|A:0	a a|a a|a																				N
a	A:0	a a	A:0	a a	A:0	a a	a a|a a	Aa a a a a a a a a a a a a a a a, a/a a, a a a a a a.	A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
a	A:0	a a	A:0	a a	A:0	a		Aa a a a a	A:0|A:0|A:0|A:0|A:0|A:0|A:0|a://a.a/0.0/0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0	a a					A:0	a			A:0|A:0	a a|a																	A:0	Aa a a		N
a	A:0	a a	A:0	a a	A:0	a a		Aa a a a a a a a a a.	A:0|A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0							A:0	a			A:0|A:0	a|a a																	A:0	Aa a a		N
a	A:0	a a	A:0	a a	A:0	a a		Aa a a a a a a a a a a a.	A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																													A:0	Aa a a		N
a	A:0	a a a	A:0	a a a	A:0	a a		Aa a a a a a a, a, a a a a a.							Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																									A:0	a a			A:0	Aa a a		N
a	A:0	a	A:0	a	A:0	a a a		Aa a a a-a a a a a a, a a a a a a a a a a a, a a a a a a.	A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
a	A:0	a	A:0	a	A:0	a		Aa a a a a a a a a a a a a a a a a a a a a-a a a a.	A:0|A:0|A:0|A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0	a	A:0|A:0|A:0	a a|a|a a							A:0|A:0|A:0	a|a a|a a																				N
a	A:0	a	A:0	a	A:0	a a		Aa a a a a a a a a a a a a a a a a a.	A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0	a a	A:0|A:0|A:0	a a|a|a a							A:0|A:0|A:0	a a|a a|a																				N
a	A:0	a a	A:0	a a	A:0	a		A a a 0 a a a a, a 0 a a a. Aa a a a a A, a a a a a a.	A:0|A:0|A:0|A:0|A:0|a://a.a/0.0/0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0	a	A:0|A:0|A:0|A:0|A:0|A:0|A:0	a a|a a|a|a a|a a|a a|a a	A:0	a					A:0	a a																	A:0	Aa a a		N
aAa_aAa.a	A:0	A a a a a	A:0	A a a a a				a a a a a A a							Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
